inf {'act': [5], 'batch_size': [31.0], 'dt': [0.27866758290784643], 'hidden_dim': [360.0], 'l2reg': [0.09710471622495483], 'layers': [0.0], 'lr': [0.00316915443771598], 'lr2': [1.050628306479309e-05], 'n_updates': [4.0]}
inf {'act': [4], 'batch_size': [32.0], 'dt': [0.2846928091471177], 'hidden_dim': [394.0], 'l2reg': [0.00023535354054142902], 'layers': [0.0], 'lr': [0.0034017059632040275], 'lr2': [7.122249132572226e-05], 'n_updates': [4.0]}
inf {'act': [7], 'batch_size': [74.0], 'dt': [0.05913292615729722], 'hidden_dim': [526.0], 'l2reg': [0.2869559205472294], 'layers': [1.0], 'lr': [0.049120135892859206], 'lr2': [4.31865641723399e-06], 'n_updates': [6.0]}
inf {'act': [1], 'batch_size': [39.0], 'dt': [0.017159653148335088], 'hidden_dim': [71.0], 'l2reg': [1.0464890745065405e-05], 'layers': [2.0], 'lr': [2.0283081286223692e-05], 'lr2': [1.895904977592169e-07], 'n_updates': [1.0]}
inf {'act': [5], 'batch_size': [47.0], 'dt': [0.07846958960834857], 'hidden_dim': [389.0], 'l2reg': [0.07674326785396213], 'layers': [0.0], 'lr': [0.0033186072525747583], 'lr2': [2.3655366998835455e-05], 'n_updates': [6.0]}
inf {'act': [7], 'batch_size': [61.0], 'dt': [0.061776007614927096], 'hidden_dim': [547.0], 'l2reg': [0.02832968461544889], 'layers': [1.0], 'lr': [0.007117704484179069], 'lr2': [6.23452915068163e-05], 'n_updates': [5.0]}
inf {'act': [5], 'batch_size': [31.0], 'dt': [0.2158337762837832], 'hidden_dim': [370.0], 'l2reg': [0.07846067730546065], 'layers': [0.0], 'lr': [0.003389981836509703], 'lr2': [1.2431411072352063e-05], 'n_updates': [4.0]}
inf {'act': [0], 'batch_size': [37.0], 'dt': [0.13618330525798292], 'hidden_dim': [470.0], 'l2reg': [0.7568203046856757], 'layers': [0.0], 'lr': [0.002389794466147147], 'lr2': [2.800340038639107e-05], 'n_updates': [4.0]}
inf {'act': [3], 'batch_size': [72.0], 'dt': [0.20688507352014704], 'hidden_dim': [746.0], 'l2reg': [0.0019390904018445347], 'layers': [2.0], 'lr': [0.02082972068071921], 'lr2': [1.8478717960447233e-05], 'n_updates': [6.0]}
inf {'act': [4], 'batch_size': [73.0], 'dt': [0.44110014487023713], 'hidden_dim': [362.0], 'l2reg': [0.09618982975069025], 'layers': [2.0], 'lr': [0.009177505396090604], 'lr2': [4.4287579026432e-06], 'n_updates': [5.0]}
inf {'act': [4], 'batch_size': [69.0], 'dt': [0.4649254078216614], 'hidden_dim': [801.0], 'l2reg': [0.08798325727721049], 'layers': [2.0], 'lr': [0.00431332260230961], 'lr2': [3.5497302348172346e-06], 'n_updates': [6.0]}
inf {'act': [4], 'batch_size': [25.0], 'dt': [0.1667313327176091], 'hidden_dim': [731.0], 'l2reg': [0.8316820551498271], 'layers': [0.0], 'lr': [0.005398757171717074], 'lr2': [2.794662578520777e-05], 'n_updates': [6.0]}
inf {'act': [4], 'batch_size': [93.0], 'dt': [0.15770071580236306], 'hidden_dim': [279.0], 'l2reg': [0.945760342756099], 'layers': [0.0], 'lr': [0.019078023767280596], 'lr2': [3.570690172375407e-06], 'n_updates': [6.0]}
inf {'act': [2], 'batch_size': [293.0], 'dt': [0.3182502427414253], 'hidden_dim': [13.0], 'l2reg': [6.66730996336705e-06], 'layers': [5.0], 'lr': [0.0007228714609945931], 'lr2': [8.886195846690598e-06], 'n_updates': [3.0]}
inf {'act': [2], 'batch_size': [77.0], 'dt': [0.8076690948375098], 'hidden_dim': [17.0], 'l2reg': [6.900147316743434e-11], 'layers': [5.0], 'lr': [1.2601485395008003e-05], 'lr2': [0.00013798962511728181], 'n_updates': [3.0]}
inf {'act': [2], 'batch_size': [562.0], 'dt': [0.8968977085054254], 'hidden_dim': [33.0], 'l2reg': [1.5523888870020323e-05], 'layers': [2.0], 'lr': [0.00036117965746575376], 'lr2': [1.260289043832057e-07], 'n_updates': [2.0]}
